cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
192,True,0.937391,0.836724,0.409034,0.20285,0.095967,False,0.0,0.325,0
193,True,0.932705,0.836912,0.402563,0.209789,0.096067,True,0.346938,0.4,0
194,True,0.936736,0.836753,0.404781,0.207597,0.096167,False,0.0,0.375,0
195,True,0.917783,0.837217,0.394041,0.21452,0.096267,True,0.346165,0.45,0
196,True,0.930042,0.836999,0.396599,0.21214,0.096367,False,0.0,0.425,0
197,True,0.931309,0.836959,0.399055,0.209854,0.096467,False,0.0,0.4,0
198,True,0.930925,0.836971,0.401413,0.20766,0.096567,False,0.0,0.375,0
199,True,0.931116,0.836965,0.403676,0.205553,0.096667,False,0.0,0.35,0
200,True,0.939937,0.836603,0.405849,0.203531,0.096767,False,0.0,0.325,0
201,True,0.93612,0.836779,0.399509,0.210648,0.096864,True,0.355849,0.4,0
202,True,0.933441,0.836885,0.393643,0.217582,0.096958,True,0.346689,0.475,0
203,True,0.931812,0.836942,0.396218,0.215079,0.09705,False,0.0,0.45,0
204,True,0.930499,0.836985,0.398689,0.212676,0.097138,False,0.0,0.425,0
205,True,0.93306,0.836899,0.401061,0.210369,0.097224,False,0.0,0.4,0
206,True,0.929515,0.837014,0.403339,0.208154,0.097307,False,0.0,0.375,0
207,True,0.926099,0.837102,0.405525,0.206028,0.097388,False,0.0,0.35,0
208,True,0.921544,0.837182,0.407624,0.203987,0.097466,False,0.0,0.325,0
209,True,0.917748,0.837217,0.409639,0.202027,0.097542,False,0.0,0.3,0
210,True,0.920765,0.837192,0.411574,0.200146,0.097616,False,0.0,0.275,0
211,True,0.920215,0.837198,0.413431,0.19834,0.097688,False,0.0,0.25,0
212,True,0.920496,0.837195,0.415214,0.196607,0.097757,False,0.0,0.225,0
213,True,0.924597,0.837133,0.416925,0.194942,0.097824,False,0.0,0.2,0
214,True,0.930707,0.836978,0.418568,0.193345,0.09789,False,0.0,0.175,0
215,True,0.928684,0.837038,0.420145,0.191811,0.097953,False,0.0,0.15,0
216,True,0.932601,0.836915,0.42166,0.190338,0.098014,False,0.0,0.125,0
217,True,0.934509,0.836844,0.423113,0.188925,0.098074,False,0.0,0.1,0
218,True,0.930986,0.836969,0.424509,0.187568,0.098132,False,0.0,0.075,0
219,True,0.930389,0.836988,0.425848,0.186265,0.098188,False,0.0,0.05,0
220,True,0.937667,0.836711,0.427134,0.185015,0.098242,False,0.0,0.025,0
