cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
43,False,0.955378,0.835595,0.457654,0.155691,0.082985,False,0.0,0,0
44,False,0.949372,0.836044,0.457668,0.155664,0.08308,False,0.0,0,0
45,False,0.948703,0.836089,0.457681,0.155637,0.083177,False,0.0,0,0
46,False,0.954003,0.835704,0.457694,0.155612,0.083275,False,0.0,0,0
47,False,0.946199,0.836252,0.457706,0.155587,0.083374,False,0.0,0,0
48,False,0.947652,0.836159,0.457718,0.155564,0.083474,False,0.0,0,0
49,False,0.958277,0.835352,0.457729,0.155541,0.083576,False,0.0,0,0
50,False,0.956541,0.835499,0.45774,0.15552,0.083679,False,0.0,0,0
51,False,0.958298,0.83535,0.457751,0.155499,0.083782,False,0.0,0,0
52,False,0.950354,0.835975,0.457761,0.155479,0.083887,False,0.0,0,0
53,False,0.955328,0.835599,0.45777,0.15546,0.083993,False,0.0,0,0
54,False,0.953047,0.835777,0.457779,0.155441,0.0841,False,0.0,0,0
55,False,0.958081,0.835369,0.457788,0.155424,0.084208,False,0.0,0,0
56,False,0.959161,0.835275,0.457797,0.155407,0.084317,False,0.0,0,0
57,False,0.952924,0.835787,0.457805,0.15539,0.084427,False,0.0,0,0
58,False,0.949948,0.836004,0.457813,0.155375,0.084538,False,0.0,0,0
59,False,0.949819,0.836013,0.45782,0.15536,0.08465,False,0.0,0,0
60,False,0.950541,0.835962,0.457827,0.155345,0.084762,False,0.0,0,0
61,False,0.94616,0.836254,0.457834,0.155332,0.084875,False,0.0,0,0
62,False,0.941524,0.836521,0.457841,0.155318,0.08499,False,0.0,0,0
63,False,0.941184,0.836539,0.457847,0.155306,0.085104,False,0.0,0,0
64,False,0.948234,0.83612,0.457853,0.155293,0.08522,False,0.0,0,0
65,False,0.943291,0.836425,0.457859,0.155282,0.085337,False,0.0,0,0
66,False,0.93822,0.836686,0.457865,0.15527,0.085454,False,0.0,0,0
67,False,0.940237,0.836588,0.45787,0.15526,0.085571,False,0.0,0,0
68,False,0.94713,0.836193,0.457875,0.155249,0.08569,False,0.0,0,0
69,False,0.945387,0.836302,0.45788,0.155239,0.085809,False,0.0,0,0
70,False,0.951997,0.835856,0.457885,0.15523,0.085929,False,0.0,0,0
71,False,0.945897,0.83627,0.45789,0.15522,0.086049,False,0.0,0,0
72,False,0.949494,0.836035,0.457894,0.155212,0.08617,False,0.0,0,0
73,False,0.953306,0.835758,0.457898,0.155203,0.086291,False,0.0,0,0
74,False,0.945427,0.836299,0.457902,0.155195,0.086414,False,0.0,0,0
75,False,0.951307,0.835907,0.457906,0.155187,0.086536,False,0.0,0,0
76,False,0.941332,0.836532,0.45791,0.15518,0.086659,False,0.0,0,0
77,False,0.940807,0.836559,0.457914,0.155173,0.086783,False,0.0,0,0
78,False,0.932302,0.836926,0.457917,0.155166,0.086907,False,0.0,0,0
79,False,0.931697,0.836946,0.45792,0.155159,0.087032,False,0.0,0,0
80,False,0.935245,0.836815,0.457924,0.155153,0.087157,False,0.0,0,0
81,False,0.942209,0.836485,0.457927,0.155147,0.087282,False,0.0,0,0
82,False,0.948597,0.836096,0.45793,0.155141,0.087408,False,0.0,0,0
83,False,0.951407,0.835899,0.457932,0.155135,0.087534,False,0.0,0,0
84,False,0.955899,0.835552,0.457935,0.15513,0.087661,False,0.0,0,0
85,False,0.95097,0.835931,0.457938,0.155124,0.087788,False,0.0,0,0
86,False,0.959877,0.835211,0.45794,0.15512,0.087916,False,0.0,0,0
87,False,0.959449,0.835249,0.457943,0.155115,0.088044,False,0.0,0,0
88,False,0.958378,0.835343,0.457945,0.15511,0.088172,False,0.0,0,0
89,False,0.951253,0.835911,0.457947,0.155106,0.088301,False,0.0,0,0
90,False,0.961064,0.835103,0.457949,0.155102,0.08843,False,0.0,0,0
91,False,0.957237,0.835441,0.457951,0.155097,0.088559,False,0.0,0,0
92,False,0.958801,0.835306,0.457953,0.155094,0.088689,False,0.0,0,0
93,False,0.960572,0.835148,0.457955,0.15509,0.088819,False,0.0,0,0
