cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
76,drift,40,18,0.599527,0.495439,0.575376,3,0.104088,1,0.849958,1,0.436777,0.999023,0,0.25388,0.890457,0,1,1,0.6725,76,0,0,76,76,76,0,0,2,0,0,False,False
77,drift,40,18,0.612518,0.509317,0.610948,3,0.103201,1,0.850416,1,0.436796,0.999064,0,0.255569,0.891282,0,1,1,0.6725,77,0,0,77,77,77,0,0,2,0,0,False,False
78,drift,40,18,0.567849,0.518686,0.524404,3,0.049163,1,0.850865,1,0.436151,0.999105,0,0.257124,0.892107,0,1,1,0.6725,78,0,0,78,78,78,0,0,2,0,0,False,False
79,drift,40,18,0.615412,0.513397,0.582886,3,0.102016,1,0.851304,1,0.43621,0.999147,0,0.258554,0.892932,0,1,1,0.6725,79,0,0,79,79,79,0,0,2,0,0,False,False
80,drift,40,18,0.589745,0.511151,0.531781,3,0.078593,1,0.851734,1,0.435985,0.999188,0,0.259869,0.893757,0,1,1,0.6725,80,0,0,80,80,80,0,0,2,0,0,False,False
81,drift,40,18,0.600319,0.48276,0.519184,2,0.117559,1,0.852155,1,0.436269,0.999229,0,0.25308,0.894582,0,1,1,0.6725,81,0,0,81,81,81,0,0,2,0,0,False,False
82,drift,40,18,0.583899,0.493642,0.589201,3,0.095559,1,0.852567,1,0.436276,0.99927,0,0.254834,0.895407,0,1,1,0.6725,82,0,0,82,82,82,0,0,2,0,0,False,False
83,drift,40,18,0.606034,0.489977,0.523168,2,0.116057,1,0.852971,1,0.43655,0.999312,0,0.248447,0.896232,0,1,1,0.6725,83,0,0,83,83,83,0,0,2,0,0,False,False
84,drift,40,18,0.588137,0.525041,0.550113,3,0.063097,1,0.853367,1,0.43616,0.999353,0,0.250571,0.897057,0,1,1,0.6725,84,0,0,84,84,84,0,0,2,0,0,False,False
85,drift,40,18,0.600041,0.488413,0.517653,3,0.111628,1,0.853755,1,0.436407,0.999394,0,0.252525,0.897882,0,1,1,0.6725,85,0,0,85,85,85,0,0,2,0,0,False,False
86,drift,40,18,0.59198,0.506581,0.540969,3,0.085399,1,0.854135,1,0.436326,0.999435,0,0.254323,0.898707,0,1,1,0.6725,86,0,0,86,86,86,0,0,2,0,0,False,False
87,drift,40,18,0.583519,0.498075,0.600643,3,0.102568,1,0.854508,1,0.436475,0.999477,0,0.255977,0.899532,0,1,1,0.6725,87,0,0,87,87,87,0,0,2,0,0,False,False
88,drift,40,18,0.597568,0.49047,0.572409,3,0.107098,1,0.854874,1,0.436684,0.999518,0,0.257499,0.900357,0,1,1,0.6725,88,0,0,88,88,88,0,0,2,0,0,False,False
89,drift,40,18,0.594973,0.499801,0.642187,2,0.142386,1,0.855233,1,0.437335,0.999559,0,0.250899,0.901182,0,1,1,0.6725,89,0,0,89,89,89,0,0,2,0,0,False,False
90,drift,40,18,0.594691,0.510297,0.558062,3,0.084394,1,0.855585,1,0.43724,0.9996,0,0.252827,0.902007,0,1,1,0.6725,90,0,0,90,90,90,0,0,2,0,0,False,False
91,drift,40,18,0.593954,0.503593,0.540005,3,0.090361,1,0.85593,1,0.437237,0.999642,0,0.254601,0.902832,0,1,1,0.6725,91,0,0,91,91,91,0,0,2,0,0,False,False
92,drift,40,18,0.591045,0.490222,0.554487,3,0.100823,1,0.856269,1,0.437375,0.999683,0,0.256233,0.903657,0,1,1,0.6725,92,0,0,92,92,92,0,0,2,0,0,False,False
93,drift,40,18,0.582086,0.508596,0.528229,3,0.07349,1,0.856602,1,0.437176,0.999724,0,0.257734,0.904482,0,1,1,0.6725,93,0,0,93,93,93,0,0,2,0,0,False,False
94,drift,40,18,0.59913,0.484782,0.55091,3,0.114349,1,0.856929,1,0.43751,0.999765,0,0.259116,0.905307,0,1,1,0.6725,94,0,0,94,94,94,0,0,2,0,0,False,False
