cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
232,True,0.989541,0.831866,0.882552,0.787901,0.355099,1,0.007379,0.542857,0.555836,0.48866,0.055835,0.078989,0.144182,0.953133,0.2,1
233,True,0.993358,0.838779,0.866096,0.788236,0.355016,1,0.006768,0.548408,0.557444,0.499821,0.052699,0.075365,0.13478,0.953422,0.2,1
234,True,0.998964,0.855539,0.850207,0.79787,0.354975,1,0.003416,0.5505,0.546109,0.50012,0.049259,0.07156,0.12622,0.953629,0.0,1
235,True,1,0.863873,0.834346,0.799476,0.354974,1,0.002474,0.535601,0.538624,0.493408,0.045818,0.06766,0.117853,0.953778,0.0,1
236,True,1,0.858167,0.830109,0.79256,0.354985,1,0.004395,0.539989,0.552828,0.486517,0.045528,0.066573,0.115672,0.953908,0.0,1
237,True,1,0.861955,0.814565,0.790028,0.355029,1,0.00418,0.543547,0.556803,0.507875,0.043205,0.063175,0.106806,0.953949,0.0,1
238,True,1,0.879522,0.78849,0.795809,0.355133,1,-0.001195,0.546579,0.54625,0.527761,0.037686,0.056942,0.09284,0.953866,0.0,1
239,True,1,0.885528,0.776411,0.796431,0.355262,1,0.000379,0.531909,0.542034,0.501268,0.035794,0.053968,0.086529,0.953751,0.0,1
240,True,1,0.88088,0.762587,0.78677,0.355422,1,-0.002815,0.537664,0.542682,0.511732,0.033066,0.050395,0.079596,0.953574,0.0,1
241,True,1,0.870171,0.747801,0.771416,0.35561,1,-0.006954,0.543238,0.551627,0.52281,0.030572,0.046787,0.071848,0.953313,0.0,1
242,True,1,0.871714,0.730276,0.765909,0.355829,1,-0.007669,0.5372,0.551934,0.5257,0.028217,0.042878,0.062078,0.952948,0.0,1
243,True,0.99831,0.876643,0.711181,0.762707,0.356083,1,-0.007219,0.537563,0.529027,0.523214,0.02486,0.038286,0.051988,0.9525,0.0,1
244,True,1,0.864098,0.711046,0.75174,0.356331,1,-0.010734,0.534283,0.549605,0.506637,0.025541,0.037869,0.052649,0.952062,0.0,1
245,True,1,0.861765,0.691051,0.741957,0.356616,1,-0.012713,0.529157,0.54281,0.539434,0.022582,0.033051,0.042119,0.951515,0.0,1
246,True,1,0.849996,0.675941,0.726044,0.356922,1,-0.017205,0.535147,0.551623,0.534763,0.020541,0.029631,0.033849,0.950903,0.0,1
247,True,0.999827,0.84383,0.666613,0.717235,0.357227,1,-0.018379,0.520825,0.558381,0.519606,0.021496,0.028282,0.027566,0.950249,0.0,1
248,True,1,0.837909,0.655445,0.707992,0.357548,1,-0.020444,0.524651,0.554608,0.547488,0.021222,0.025423,0.022053,0.949552,0.0,1
249,True,1,0.844619,0.645546,0.709899,0.357883,1,-0.019411,0.540083,0.548853,0.539726,0.018497,0.022527,0.017786,0.948804,0.0,1
250,True,1,0.843362,0.637427,0.705761,0.358231,1,-0.021097,0.536376,0.535098,0.538316,0.015554,0.019735,0.015005,0.948036,0.0,1
251,True,1,0.846723,0.633576,0.707106,0.358573,1,-0.020237,0.523236,0.541908,0.545083,0.015376,0.018723,0.013274,0.94726,0.0,1
252,True,1,0.832545,0.646135,0.699971,0.358871,1,-0.022759,0.523976,0.553976,0.578329,0.01913,0.021611,0.02036,0.946576,0.0,1
253,True,0.998572,0.830449,0.63643,0.694582,0.359185,1,-0.023715,0.529549,0.547899,0.539574,0.017889,0.018705,0.016288,0.945838,0.2,1
254,True,1,0.830997,0.645719,0.698514,0.359466,1,-0.022912,0.520472,0.540554,0.562841,0.019753,0.020612,0.021945,0.945156,0.2,1
255,True,1,0.841951,0.657214,0.712077,0.359705,1,-0.018245,0.511305,0.541239,0.567448,0.022935,0.023491,0.02804,0.944562,0.2,1
256,True,1,0.841125,0.653678,0.71004,0.359931,1,-0.018001,0.505677,0.545016,0.550324,0.024164,0.023699,0.024555,0.944031,0.2,1
257,True,0.997779,0.841433,0.65766,0.711808,0.360139,1,-0.017571,0.520622,0.541854,0.560483,0.024598,0.024476,0.027096,0.943535,0.0,1
258,True,0.996628,0.828254,0.663137,0.702701,0.360324,1,-0.020875,0.507225,0.534684,0.555459,0.025958,0.02588,0.029987,0.943089,0.0,1
259,True,1,0.804248,0.66865,0.684329,0.360486,1,-0.027655,0.506823,0.535334,0.557395,0.027354,0.027341,0.032813,0.94266,0.0,1
260,True,0.997558,0.813418,0.688326,0.699333,0.360596,1,-0.022979,0.498902,0.531275,0.574922,0.031553,0.03189,0.043709,0.942284,0.0,1
