cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
103,False,1,0.863695,0.417693,0.637374,0.311343,0.257407,0.005659,0.512178,0.554557,0.0,0.044259,0.0,0.0,0.978806,0.0,1
104,False,1,0.873182,0.413369,0.642676,0.31129,0.257365,0.004551,0.518191,0.534387,0.0,0.04033,0.0,0.0,0.978854,0.0,1
105,False,0.999923,0.880736,0.412254,0.647794,0.311238,0.257314,0.002435,0.515715,0.548841,0.0,0.039322,0.0,0.0,0.9789,0.0,1
106,False,1,0.888021,0.410243,0.652348,0.311188,0.257247,0.001277,0.513759,0.540093,0.0,0.037503,0.0,0.0,0.978944,0.0,1
107,False,1,0.892147,0.409693,0.655159,0.311141,0.257177,0.000207,0.518898,0.552915,0.0,0.037015,0.0,0.0,0.978986,0.0,1
108,False,1,0.890207,0.409329,0.653588,0.311095,0.257105,0.000965,0.522456,0.557195,0.0,0.036697,0.0,0.0,0.979026,0.0,1
109,False,1,0.892463,0.406831,0.654241,0.311051,0.257013,0.001204,0.52566,0.546277,0.0,0.034445,0.0,0.0,0.979065,0.0,1
110,False,1,0.89389,0.406499,0.655154,0.311009,0.256921,-0.000825,0.518189,0.550614,0.0,0.034163,0.0,0.0,0.979103,0.0,1
111,False,1,0.889612,0.405026,0.651429,0.310969,0.256818,-0.002844,0.527242,0.552008,0.0,0.032847,0.0,0.0,0.979139,0.0,1
112,False,1,0.886877,0.402005,0.648221,0.31093,0.256692,-0.0047,0.537669,0.551122,0.0,0.030132,0.0,0.0,0.979173,0.0,1
113,False,1,0.880295,0.402655,0.643667,0.310893,0.256574,-0.006498,0.518486,0.553038,0.0,0.030751,0.0,0.0,0.979206,0.0,1
114,False,1,0.879923,0.400614,0.642587,0.310857,0.256442,-0.007217,0.536563,0.554302,0.0,0.028929,0.0,0.0,0.979238,0.0,1
115,False,1,0.882775,0.396929,0.643206,0.310823,0.256281,-0.007766,0.534565,0.53987,0.0,0.025622,0.0,0.0,0.979268,0.2,1
116,False,1,0.886172,0.393611,0.644357,0.31079,0.256094,-0.008115,0.544247,0.539812,0.0,0.022656,0.0,0.0,0.979298,0.2,1
117,False,1,0.884816,0.392442,0.642906,0.310759,0.255903,-0.009143,0.532349,0.547789,0.0,0.021645,0.0,0.0,0.979326,0.2,1
118,False,1,0.877942,0.390594,0.637182,0.310728,0.255701,-0.011629,0.536517,0.546565,0.0,0.020022,0.0,0.0,0.979353,0.2,1
119,False,1,0.890329,0.388073,0.645162,0.310699,0.255482,-0.008803,0.533994,0.538089,0.0,0.017792,0.0,0.0,0.979379,0.0,1
120,False,1,0.898872,0.386691,0.650793,0.310671,0.255257,-0.006801,0.534817,0.544087,0.0,0.016599,0.0,0.0,0.979403,0.0,1
121,False,1,0.912233,0.385617,0.660026,0.310644,0.255028,-0.003114,0.532672,0.54276,0.0,0.015687,0.0,0.0,0.979427,0.0,1
122,False,1,0.903352,0.385443,0.653529,0.310618,0.254804,-0.005901,0.551824,0.536807,0.0,0.015594,0.0,0.0,0.97945,0.0,1
123,False,1,0.915767,0.385602,0.662577,0.310594,0.254588,-0.002096,0.550672,0.533607,0.0,0.0158,0.0,0.0,0.979472,0.0,1
124,False,1,0.899567,0.383319,0.649931,0.31057,0.254358,-0.00765,0.542063,0.540618,0.0,0.01379,0.0,0.0,0.979493,0.0,1
125,False,1,0.898624,0.382219,0.648806,0.310547,0.254124,-0.008615,0.53808,0.530948,0.0,0.012858,0.0,0.0,0.979514,0.0,1
126,False,1,0.890078,0.381088,0.642182,0.310525,0.253887,-0.011268,0.541757,0.535755,0.0,0.011898,0.0,0.0,0.979533,0.0,1
127,False,1,0.873387,0.381029,0.630117,0.310504,0.253656,-0.016396,0.550081,0.538089,0.0,0.011911,0.0,0.0,0.979552,0.0,1
128,False,1,0.878318,0.379229,0.632962,0.310484,0.253416,-0.015805,0.539958,0.539232,0.0,0.010345,0.0,0.0,0.97957,0.0,1
129,False,1,0.87674,0.380082,0.632162,0.310465,0.253189,-0.015648,0.552529,0.536174,0.0,0.011187,0.0,0.0,0.979587,0.0,1
130,False,1,0.873232,0.379676,0.629473,0.310446,0.252966,-0.016849,0.536742,0.527727,0.0,0.010883,0.0,0.0,0.979603,0.0,1
131,False,1,0.869984,0.379089,0.626901,0.310428,0.252743,-0.018024,0.550086,0.542553,0.0,0.010414,0.0,0.0,0.979619,0.0,1
132,False,1,0.872131,0.380637,0.629057,0.310411,0.25254,-0.016885,0.543973,0.523085,0.0,0.01188,0.0,0.0,0.979634,0.0,1
133,False,1,0.861942,0.383561,0.622841,0.310395,0.252369,-0.018649,0.544831,0.513613,0.0,0.014588,0.0,0.0,0.979649,0.0,1
134,False,1,0.871872,0.382537,0.629615,0.310379,0.252194,-0.016012,0.545874,0.537568,0.0,0.013708,0.0,0.0,0.979663,0.0,1
135,False,1,0.865972,0.383387,0.625686,0.310364,0.25203,-0.017367,0.539666,0.520101,0.0,0.014528,0.0,0.0,0.979677,0.0,1
136,False,1,0.870197,0.383641,0.628838,0.310349,0.251874,-0.016192,0.53917,0.522669,0.0,0.014804,0.0,0.0,0.97969,0.0,1
137,False,1,0.863364,0.384448,0.624214,0.310335,0.251729,-0.017667,0.539284,0.518942,0.0,0.015579,0.0,0.0,0.979702,0.0,1
138,False,1,0.865998,0.386224,0.62681,0.310322,0.251604,-0.01649,0.545186,0.517817,0.0,0.01723,0.0,0.0,0.979714,0.2,1
139,False,1,0.853824,0.386472,0.618094,0.310309,0.251484,-0.019796,0.535844,0.516757,0.0,0.01749,0.0,0.0,0.979725,0.2,1
140,False,1,0.858865,0.383792,0.620707,0.310297,0.251344,-0.019428,0.523126,0.523502,0.0,0.015094,0.0,0.0,0.979736,0.2,1
141,False,1,0.859402,0.384576,0.621399,0.310285,0.251215,-0.018975,0.540169,0.519713,0.0,0.015845,0.0,0.0,0.979747,0.2,1
142,False,1,0.852069,0.385443,0.616429,0.310273,0.251097,-0.020772,0.528394,0.50668,0.0,0.016666,0.0,0.0,0.979757,0.0,1
143,False,1,0.857874,0.385501,0.620651,0.310262,0.250983,-0.019029,0.537878,0.520601,0.0,0.016752,0.0,0.0,0.979767,0.0,1
144,False,1,0.859263,0.388428,0.622788,0.310252,0.250898,-0.017462,0.537914,0.501981,0.0,0.019437,0.0,0.0,0.979776,0.0,1
145,False,1,0.863276,0.390873,0.626646,0.310242,0.250837,-0.015359,0.537853,0.502418,0.0,0.021677,0.0,0.0,0.979785,0.0,1
