cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
160,False,1,0.83,0.32754,0.244906,0.006972,0.500346,0.48418,0.0,0.021592,0.0,0.0,0.979883,0.0,1
161,False,1,0.83,0.327594,0.244876,0.006146,0.504252,0.476856,0.0,0.022405,0.0,0.0,0.979888,0.2,1
162,False,1,0.83,0.327646,0.244842,0.004832,0.501836,0.483624,0.0,0.021817,0.0,0.0,0.979893,0.2,1
163,False,1,0.83,0.327696,0.244801,0.006767,0.486985,0.471142,0.0,0.020981,0.0,0.0,0.979897,0.2,1
164,False,1,0.83,0.327744,0.244761,0.004666,0.499006,0.477232,0.0,0.021092,0.0,0.0,0.979901,0.2,1
165,False,1,0.83,0.32779,0.244732,0.007083,0.495863,0.468154,0.0,0.022018,0.0,0.0,0.979905,0.0,1
166,False,1,0.83,0.327834,0.244697,0.006696,0.485739,0.468373,0.0,0.021367,0.0,0.0,0.979909,0.0,1
167,False,1,0.83,0.327876,0.24467,0.007684,0.491318,0.464809,0.0,0.022087,0.0,0.0,0.979912,0.0,1
168,False,1,0.83,0.327917,0.244637,0.005907,0.486395,0.469182,0.0,0.021405,0.0,0.0,0.979916,0.0,1
169,False,1,0.83,0.327956,0.244603,0.005522,0.483829,0.463395,0.0,0.021269,0.0,0.0,0.979919,0.0,1
170,False,1,0.83,0.327993,0.244566,0.000646,0.491512,0.473985,0.0,0.020745,0.0,0.0,0.979923,0.0,1
171,False,1,0.83,0.328029,0.244504,-0.00054,0.477717,0.480301,0.0,0.018202,0.0,0.0,0.979926,0.0,1
172,False,1,0.83,0.328064,0.244433,0.003567,0.481583,0.471165,0.0,0.017113,0.0,0.0,0.979929,0.0,1
173,False,1,0.83,0.328097,0.244368,-0.000108,0.484392,0.46469,0.0,0.017475,0.0,0.0,0.979931,0.0,1
174,False,1,0.83,0.328129,0.244293,-0.001065,0.477267,0.467757,0.0,0.01636,0.0,0.0,0.979934,0.0,1
175,False,1,0.83,0.328159,0.244209,0.00107,0.472457,0.463937,0.0,0.015263,0.0,0.0,0.979937,0.0,1
176,False,1,0.83,0.328188,0.24413,-0.002445,0.474122,0.457405,0.0,0.015466,0.0,0.0,0.979939,0.0,1
177,False,1,0.83,0.328216,0.24404,0.001178,0.4755,0.481638,0.0,0.01416,0.0,0.0,0.979942,0.0,1
178,False,1,0.83,0.328243,0.243938,0.000902,0.474589,0.470308,0.0,0.012777,0.0,0.0,0.979944,0.0,1
179,False,1,0.83,0.328269,0.243839,-0.000491,0.486442,0.474194,0.0,0.012703,0.0,0.0,0.979946,0.0,1
