cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
178,True,0.993473,0.831067,0.433355,1,-0.006372,0.464798,0.46907,0.550516,0.054126,0.074414,0.144774,0.949836,0.0,1
179,True,0.995329,0.830772,0.433055,1,-0.008146,0.476739,0.472848,0.539543,0.052387,0.073061,0.140941,0.950204,0.0,1
180,True,0.999598,0.830068,0.432755,1,-0.012589,0.471306,0.470143,0.548873,0.052405,0.073774,0.143779,0.950547,0.0,1
181,True,1,0.83,0.432514,1,-0.01191,0.466278,0.47543,0.531519,0.050801,0.071938,0.137459,0.950845,0.0,1
182,True,1,0.83,0.432262,1,-0.010054,0.47411,0.471355,0.551482,0.051272,0.072892,0.140916,0.951163,0.0,1
183,True,1,0.83,0.432052,1,-0.006388,0.464375,0.474763,0.532882,0.050264,0.071551,0.13598,0.951465,0.0,1
184,True,1,0.83,0.431912,1,-0.00393,0.474883,0.474341,0.530246,0.047925,0.069322,0.130929,0.951726,0.2,1
185,True,1,0.83,0.431878,1,-0.003172,0.483242,0.467937,0.515307,0.044983,0.065178,0.117569,0.9519,0.2,1
186,True,1,0.83,0.431967,1,0.00283,0.473252,0.478537,0.50654,0.04088,0.060343,0.105257,0.951974,0.2,1
187,True,1,0.83,0.432117,1,0.004622,0.475374,0.482946,0.520727,0.038964,0.057715,0.099318,0.951981,0.2,1
188,True,1,0.83,0.432374,1,0.002943,0.475116,0.47962,0.502915,0.035287,0.053211,0.088772,0.951909,0.0,1
189,True,1,0.83,0.43276,1,0.004854,0.477061,0.478265,0.491675,0.030689,0.047723,0.076382,0.951717,0.0,1
190,True,1,0.83,0.433292,1,0.003457,0.492675,0.493849,0.494902,0.025432,0.041272,0.061527,0.951412,0.0,1
191,True,1,0.83,0.433845,1,0.001677,0.475183,0.481904,0.506013,0.024554,0.039339,0.058865,0.951089,0.0,1
192,True,1,0.83,0.434507,1,0.001547,0.48341,0.479201,0.481875,0.020639,0.033912,0.047092,0.95067,0.0,1
193,True,1,0.83,0.43526,1,0.000532,0.492402,0.492907,0.492633,0.016985,0.029167,0.037674,0.950177,0.0,1
194,True,1,0.83,0.43604,1,-0.007572,0.485384,0.483994,0.47314,0.015397,0.0267,0.03448,0.949609,0.0,1
195,True,1,0.83,0.43683,1,-0.009327,0.484013,0.497877,0.478883,0.014905,0.024651,0.029636,0.94901,0.0,1
196,True,1,0.83,0.437659,1,-0.006029,0.486156,0.48028,0.486085,0.012927,0.021601,0.023709,0.94839,0.0,1
197,True,1,0.83,0.438442,1,-0.003251,0.493712,0.487263,0.467031,0.013802,0.021861,0.02706,0.947814,0.0,1
198,True,1,0.83,0.43925,1,-0.004719,0.495124,0.494596,0.48905,0.012046,0.019614,0.023867,0.947205,0.0,1
199,True,1,0.83,0.439982,1,-0.005156,0.494627,0.489005,0.461313,0.013876,0.021138,0.03017,0.946644,0.0,1
200,True,1,0.83,0.440627,1,-0.004801,0.493696,0.490823,0.455615,0.015948,0.023309,0.038219,0.946149,0.0,1
201,True,1,0.83,0.441197,1,-0.004066,0.494963,0.506648,0.46552,0.018013,0.024986,0.042353,0.945709,0.0,1
